"model","model_cat","predictor","outcome","est","wvar","bvar","totalvar","sd_t","mod_pred"
"pc1_trust","pc1","pc1","trust",1.23464263641709,0.0373327354696837,4.45150039561833e-05,0.0373861534744312,0.19335499340444,"pc1:pc1"
"pc1_check","pc1","pc1","check",-0.691952736108207,0.0411179940595502,5.52450558809199e-05,0.0411842881266073,0.202939124189022,"pc1:pc1"
"pc1pbm_trust","pc1pbm","pc1","trust",1.25072440321157,0.0374585243024631,3.52284503902158e-05,0.0375007984429314,0.193651228870181,"pc1pbm:pc1"
"pc1pbm_trust","pc1pbm","conditionprestige","trust",0.385815069416215,0.117798891810943,0.000106496531182735,0.117926687648362,0.343404553913255,"pc1pbm:conditionprestige"
"pc1pbm_check","pc1pbm","pc1","check",-0.712273724916435,0.0411148855000927,4.18957016285572e-05,0.0411651603420469,0.202891991813494,"pc1pbm:pc1"
"pc1pbm_check","pc1pbm","conditionprestige","check",-0.474345843544072,0.158957771171873,3.07730259123497e-05,0.158994698802967,0.398741393390462,"pc1pbm:conditionprestige"
"mi_trust","mi","MI","trust",0.909776040888733,0.029650399645835,0.000323318753121025,0.0300383821495802,0.173315845062072,"mi:MI"
"mi_check","mi","MI","check",-0.610389251273946,0.0393344678792323,0.000240798401220109,0.0396234259606965,0.199056338659929,"mi:MI"
"dep_trust","dep","depend","trust",-0.609054843293647,0.040840394030518,0.000937656989818928,0.0419655824183007,0.204855027808206,"dep:depend"
"dep_check","dep","depend","check",0.41182539776896,0.0604962303672864,0.000115467555253743,0.0606347914335909,0.24624132763123,"dep:depend"
"pbm_trust","pbm","conditionprestige","trust",0.114929966673988,0.0880585831874723,0,0.0880585831874723,0.296746664998063,"pbm:conditionprestige"
"pbm_check","pbm","conditionprestige","check",-0.316810345374163,0.146917956545527,0,0.146917956545527,0.383298782342871,"pbm:conditionprestige"
"rim_trust","rim","insecure","trust",0.413350702341453,0.0251695948278871,4.24861896425901e-05,0.0252205782554582,0.158809880849581,"rim:insecure"
"rim_trust","rim","need","trust",0.444121996051374,0.044414620690379,0.000512896640581627,0.045030096659077,0.212202961004499,"rim:need"
"rim_trust","rim","depend","trust",-0.51501343506291,0.0444580969186492,0.00131007692762601,0.0460301892318004,0.214546473361369,"rim:depend"
"rim_trust","rim","wealth","trust",-0.37624011775009,0.0394340035360121,0.00098051148119496,0.040610617313446,0.201520761494805,"rim:wealth"
"rim_check","rim","insecure","check",-0.231717507235339,0.0374124774214176,3.845450415518e-05,0.0374586228264038,0.193542302420953,"rim:insecure"
"rim_check","rim","need","check",0.0584313873766102,0.0383171413544777,0.000775083624341592,0.0392472417036876,0.198109166127384,"rim:need"
"rim_check","rim","depend","check",0.381749524517901,0.0663489230862705,0.000202009063560056,0.0665913339625425,0.25805296735853,"rim:depend"
"rim_check","rim","wealth","check",0.279242761127376,0.0560081476722264,0.000156996784623488,0.0561965438137746,0.237058102189684,"rim:wealth"
"pbrim_trust","pbrim","conditionprestige","trust",0.256928571763212,0.108251647609522,0.000274649396930426,0.108581226885839,0.329516656461914,"pbrim:conditionprestige"
"pbrim_trust","pbrim","insecure","trust",0.414056463658538,0.0251416249924745,4.93095923684376e-05,0.0252007965033167,0.158747587393688,"pbrim:insecure"
"pbrim_trust","pbrim","need","trust",0.415241512240529,0.0442340859911865,0.000472811765687919,0.044801460110012,0.211663554042759,"pbrim:need"
"pbrim_trust","pbrim","depend","trust",-0.552121094451549,0.0474537348694478,0.00144454583839007,0.0491871898755159,0.221781851997669,"pbrim:depend"
"pbrim_trust","pbrim","wealth","trust",-0.370012605960045,0.0399202115493708,0.00102345761015699,0.0411483606815592,0.202850587087046,"pbrim:wealth"
"pbrim_check","pbrim","conditionprestige","check",-0.485563051129861,0.161404567294947,0.000171420164256881,0.161610271492055,0.402007800287575,"pbrim:conditionprestige"
"pbrim_check","pbrim","insecure","check",-0.229397186496407,0.0370727580453278,7.37317292257416e-05,0.0371612361203987,0.192772498350773,"pbrim:insecure"
"pbrim_check","pbrim","need","check",0.0864568478938844,0.0449326503366136,0.00121159566927197,0.0463865651397399,0.215375405141209,"pbrim:need"
"pbrim_check","pbrim","depend","check",0.451486889353147,0.0724918242250655,0.000342289957115638,0.0729025721736043,0.270004763242437,"pbrim:depend"
"pbrim_check","pbrim","wealth","check",0.26476232607245,0.0576493031841975,0.000112741395161976,0.0577845928583918,0.240384260837501,"pbrim:wealth"
"hclust_trust","hclust","EMI","trust",1.06462980174172,0.0386321843757153,0.000587383116554472,0.0393370441155807,0.198335685431494,"hclust:EMI"
"hclust_trust","hclust","ETB","trust",-0.120752257138956,0.0770614983964842,0.000162485788127183,0.0772564813422368,0.277950501604579,"hclust:ETB"
"hclust_check","hclust","EMI","check",-0.461549580068243,0.0346691467618306,0.000227649768958452,0.0349423264845808,0.186928666834653,"hclust:EMI"
"hclust_check","hclust","ETB","check",0.364655056977002,0.149155529362384,4.60418065810626e-05,0.149210779530282,0.386278111637563,"hclust:ETB"
"EMI_trust","EMI","EMI","trust",1.08441841818257,0.0370402543935557,0.000547220065760592,0.0376969184724684,0.1941569428902,"EMI:EMI"
"EMI_check","EMI","EMI","check",-0.508834214953924,0.0333505692520943,0.00024446537366404,0.0336439277004912,0.183422811287177,"EMI:EMI"
"ETB_trust","ETB","ETB","trust",-0.456386343166459,0.0766844422691075,0.000174844047048756,0.076894255125566,0.277298134010249,"ETB:ETB"
"ETB_check","ETB","ETB","check",0.553250672296986,0.165819219362403,0.000111660196919507,0.165953211598706,0.407373552895504,"ETB:ETB"
